District,DistrictC,Salary Totals,Average Salary,FTE Count
Hamilton-Wenham,6750000,12497743,92031,136
Hampden Charter School of Science East (District),4990000,2532188,56858,45
Hampden Charter School of Science West (District),35160000,1559405,47259,33
Hampden-Wilbraham,6800000,17506595,78965,222
Hampshire,6830000,5380021,74105,73
Hancock,1210000,500535,67640,7
Hanover,1220000,17699719,89078,199
Harvard,1250000,7934789,86248,92
Hatfield,1270000,2866831,71137,40
Haverhill,1280000,45861438,77182,594
Hawlemont,6850000,789649,76665,10
Helen Y. Davis Leadership Academy Charter Public (District),4190000,1421711,86164,17
Hill View Montessori Charter Public (District),4550000,1528087,63670,24
Hilltown Cooperative Charter Public (District),4500000,1352913,67815,20
Hingham,1310000,29708811,99261,299
Holbrook,1330000,7261155,75090,97
Holland,1350000,1339221,74817,18
Holliston,1360000,18184066,87172,209
Holyoke,1370000,29659366,72819,407
Holyoke Community Charter (District),4530000,2805869,66020,43
Hoosac Valley Regional,6030000,6452828,70600,91
Hopedale,1380000,6737149,72755,93
Hopkinton,1390000,27052621,97102,279
Hudson,1410000,19647503,84324,233
Hull,1420000,7040981,88566,80
Innovation Academy Charter (District),4350000,4184702,66797,63
Ipswich,1440000,12891496,83657,154
KIPP Academy Boston Charter School (District),4630000,2946563,67731,44
KIPP Academy Lynn Charter (District),4290000,6913386,64648,107
King Philip,6900000,11275963,84845,133
Kingston,1450000,5649670,88276,64
Lawrence,1490000,83801771,74603,1123
Lawrence Family Development Charter (District),4540000,3818832,66997,57
Learning First Charter Public School (District),4860000,3174778,84661,38
Lee,1500000,5322081,72409,74
Leicester,1510000,8015806,79443,101
Lenox,1520000,6632432,84597,78
Leominster,1530000,31293361,82721,378
Leverett,1540000,1077106,72289,15
Lexington,1550000,58730499,94513,621
Libertas Academy Charter School (District),35140000,1690450,65022,26
Lincoln,1570000,11723269,92894,126
Lincoln-Sudbury,6950000,14287204,113571,126
Littleton,1580000,9530581,81250,117
Longmeadow,1590000,19402811,78586,247
Lowell,1600000,88396989,80950,1092
Lowell Community Charter Public (District),4560000,4320537,66783,65
Lowell Middlesex Academy Charter (District),4580000,743579,106165,7
Ludlow,1610000,16262564,73954,220
Lunenburg,1620000,9246816,85067,109
Lynn,1630000,94658722,82162,1152
Lynnfield,1640000,15309449,96529,159
MATCH Charter Public School (District),4690000,7785711,68902,113
Malden,1650000,39473864,83366,474
Manchester Essex Regional,6980000,11474261,88536,130
Mansfield,1670000,27020092,91284,296
Map Academy Charter School (District),35170000,1116387,55261,20
Marblehead,1680000,21656505,84365,257
Marblehead Community Charter Public (District),4640000,1330079,64100,21
Marion,1690000,2895013,88533,33
Marlborough,1700000,33937674,85680,396
Marshfield,1710000,26840672,80506,333
Martha's Vineyard,7000000,7733332,103664,75
Martha's Vineyard Charter (District),4660000,1462002,81267,18
Martin Luther King Jr. Charter School of Excellence (District),4920000,2359126,59141,40
Masconomet,7050000,13818934,107457,129
Mashpee,1720000,11369915,79343,143
Mattapoisett,1730000,3503383,92682,38
Maynard,1740000,9364721,87603,107
Medfield,1750000,19913677,99271,201
Medford,1760000,33842913,88179,384
Medway,1770000,12990816,76733,169
Melrose,1780000,21314707,76369,279
Mendon-Upton,7100000,13294373,84948,157
Methuen,1810000,39006024,79604,490
Middleborough,1820000,17710437,77882,227
Middleton,1840000,5409677,79789,68
Milford,1850000,29485735,87210,338
Millbury,1860000,10957406,81528,134
Millis,1870000,8727556,89148,98
Milton,1890000,27826821,87644,318
Minuteman Regional Vocational Technical,8300000,7958064,100101,80
Mohawk Trail,7170000,5210099,75073,69
Monomoy Regional School District,7120000,14013595,83663,168
Monson,1910000,5547699,69607,80
Montachusett Regional Vocational Technical,8320000,9936423,92004,108
Mount Greylock,7150000,8555584,76663,112
Mystic Valley Regional Charter (District),4700000,6990499,73823,95
Nahant,1960000,752143,65977,11
Nantucket,1970000,14557960,94348,154
Narragansett,7200000,6690677,67651,99
Nashoba,7250000,22447099,84578,265
Nashoba Valley Regional Vocational Technical,8520000,5556160,86545,64
Natick,1980000,36870305,84410,437
Nauset,6600000,12554967,94540,133
Needham,1990000,41460599,98388,421
Neighborhood House Charter (District),4440000,5185760,67447,77
New Bedford,2010000,77632757,78322,991
New Heights Charter School of Brockton (District),35130000,3250143,69787,47
New Salem-Wendell,7280000,958964,76717,13
Newburyport,2040000,17075239,89540,191
Newton,2070000,101497172,93031,1091
Norfolk,2080000,7276225,90726,80
Norfolk County Agricultural,9150000,4637936,82673,56
North Adams,2090000,8213202,67598,122
North Andover,2110000,26858406,83256,323
North Attleborough,2120000,24304325,83320,292
North Brookfield,2150000,3563556,86494,41
North Middlesex,7350000,18889999,77865,243
North Reading,2170000,17743087,84051,211
Northampton,2100000,16543204,70607,234
Northampton-Smith Vocational Agricultural,4060000,4038543,70852,57
Northboro-Southboro,7300000,10613652,93677,113
Northborough,2130000,13441155,97400,138
Northbridge,2140000,12543486,76766,163
Northeast Metropolitan Regional Vocational Technical,8530000,10805252,92908,116
Northern Berkshire Regional Vocational Technical,8510000,4414776,87421,51
Norton,2180000,15880113,85931,185
Norwell,2190000,14816124,92140,161
Norwood,2200000,25521233,85184,300
Oak Bluffs,2210000,4346288,92671,47
Old Colony Regional Vocational Technical,8550000,4800838,80014,60
Old Rochester,7400000,7839175,86525,91
Old Sturbridge Academy Charter Public School (District),35150000,1239022,61951,20
Orange,2230000,2942448,73931,40
Orleans,2240000,2173179,90549,24
Oxford,2260000,8657526,74441,116
Palmer,2270000,8072413,72724,111
Pathfinder Regional Vocational Technical,8600000,5304109,77432,69
Paulo Freire Social Justice Charter School (District),35010000,1324192,60801,22
Peabody,2290000,39624748,92538,428
Pelham,2300000,781357,64046,12
Pembroke,2310000,15547592,83589,186
Pentucket,7450000,14664542,80930,181
Petersham,2340000,642495,49423,13
Phoenix Academy Public Charter High School Lawrence (District),35180000,665424,66542,10
Phoenix Academy Public Charter High School Springfield (District),35080000,859423,113082,8
Phoenix Charter Academy (District),4930000,777736,62229,13
Pioneer Charter School of Science (District),4940000,4317577,59718,72
Pioneer Charter School of Science II (PCSS-II) (District),35060000,1999623,56727,35
Pioneer Valley,7500000,4107098,67774,61
Pioneer Valley Chinese Immersion Charter (District),4970000,3882372,55744,70
Pioneer Valley Performing Arts Charter Public (District),4790000,2191940,53671,41
Pittsfield,2360000,32608948,67083,486
Plainville,2380000,3675171,83149,44
Plymouth,2390000,49018424,77353,634
Plympton,2400000,1555936,80618,19
Prospect Hill Academy Charter (District),4870000,7656278,78679,97
Quabbin,7530000,11108224,78894,141
Quaboag Regional,7780000,6964490,72698,96
Quincy,2430000,63659452,86353,737
Ralph C Mahar,7550000,3923888,68123,58
Randolph,2440000,19056171,89718,212
Reading,2460000,26347309,83378,316
Revere,2480000,49933012,88991,561
Richmond,2490000,1733716,89830,19
Rising Tide Charter Public (District),4830000,3700080,62620,59
River Valley Charter (District),4820000,1797456,72742,25
Rochester,2500000,3589699,87341,41
Rockland,2510000,14218570,81156,175
Rockport,2520000,7278295,81595,89
Rowe,2530000,411865,49622,8
Roxbury Preparatory Charter (District),4840000,8424296,70160,120
Sabis International Charter (District),4410000,5660304,67769,84
Salem,2580000,30700081,94870,324
Salem Academy Charter (District),4850000,3033550,69277,44
Sandwich,2610000,16567133,79231,209
Saugus,2620000,16703127,95830,174
Savoy,2630000,358543,64026,6
Scituate,2640000,22018561,91325,241
Seekonk,2650000,14204209,85671,166
Sharon,2660000,24638495,100647,245
Shawsheen Valley Regional Vocational Technical,8710000,13151075,105546,125
Sherborn,2690000,3162320,94398,34
Shrewsbury,2710000,35261106,87977,401
Shutesbury,2720000,1010680,64787,16
Silver Lake,7600000,12383216,92689,134
Sizer School: A North Central Charter Essential (District),4740000,2184229,56491,39
Somerset,2730000,10589848,85333,124
Somerset Berkley Regional School District,7630000,5674650,73506,77
Somerville,2740000,41000926,96677,424
South Hadley,2780000,10740495,75637,142
South Middlesex Regional Vocational Technical,8290000,7376295,88764,83
South Shore Charter Public (District),4880000,7708339,77435,100
South Shore Regional Vocational Technical,8730000,5334143,88607,60
Southampton,2750000,3027961,78853,38
Southborough,2760000,10642165,99181,107
Southbridge,2770000,11716272,74721,157
Southeastern Regional Vocational Technical,8720000,11678054,89214,131
Southern Berkshire,7650000,5425657,73618,74
Southern Worcester County Regional Vocational Technical,8760000,9480713,86032,110
Southwick-Tolland-Granville Regional School District,7660000,8781874,70424,125
Spencer-E Brookfield,7670000,7578909,72595,104
Springfield,2810000,155184202,74014,2097
Springfield Preparatory Charter School (District),35100000,1964820,64569,30
Stoneham,2840000,15970355,77040,207
Stoughton,2850000,26550116,88471,300
Sturbridge,2870000,5849179,81014,72
Sturgis Charter Public (District),4890000,6830263,75315,91
Sudbury,2880000,20269181,100892,201
Sunderland,2890000,1484090,64246,23
Sutton,2900000,8232189,88901,93
Swampscott,2910000,15373643,82788,186
Swansea,2920000,12147516,75077,162
